oos,atc,latency,trf_avg,perfect_order,GMV_cur,retention
0.011363636363636364,8.0,77.0,0.0,1,209.0,0.875
0.049999999999999996,52.0,324.0,1.0,1,645.0,0.625
0.006818181818181818,9.0,46.0,0.0,1,126.0,0.625
0.004545454545454545,8.0,91.0,0.0,1,133.0,0.875
0.04318181818181818,7.0,635.0,0.0,1,285.0,0.875
0.006818181818181818,25.0,89.0,0.0,1,310.0,0.875
0.006818181818181818,10.0,73.0,0.0,1,248.0,0.625
0.011363636363636364,10.0,185.0,0.0,1,247.0,1.0
0.00909090909090909,11.0,210.0,0.0,1,201.0,0.75
0.031818181818181815,25.0,1237.0,0.0,1,519.0,1.0
0.024999999999999998,73.0,150.0,0.0,1,1076.0,0.75
0.03409090909090909,18.0,515.0,0.0,1,338.0,0.875
0.0022727272727272726,0.0,1430.0,0.0,1,298.0,0.875
0.029545454545454545,18.0,587.0,0.0,1,280.0,0.625
0.0022727272727272726,0.0,6.0,0.0,1,171.0,0.75
0.0022727272727272726,0.0,26.0,0.0,0,230.0,1.0
0.04772727272727272,60.0,1541.0,0.0,1,959.0,0.75
0.0022727272727272726,0.0,2.0,0.0,1,129.0,0.875
0.0,0.0,0.0,0.0,0,107.0,0.5
0.006818181818181818,1.0,339.0,0.0,1,86.0,0.75
0.125,36.0,333.0,0.0,1,679.0,0.75
0.004545454545454545,7.0,12.0,0.0,1,112.0,0.0
0.011363636363636364,7.0,605.0,0.0,1,123.0,0.75
0.004545454545454545,28.0,5.0,0.0,1,273.0,0.0
0.006818181818181818,16.0,99.0,0.0,1,234.0,1.0
0.04772727272727272,28.0,1130.0,0.0,1,724.0,0.875
0.038636363636363635,58.0,1115.0,0.0,1,748.0,0.875
0.03636363636363636,23.0,656.0,0.0,1,323.0,0.875
0.022727272727272728,22.0,533.0,0.0,1,451.0,0.5
0.029545454545454545,19.0,388.0,0.0,1,235.0,1.0
0.02727272727272727,16.0,374.0,0.0,1,240.0,0.75
0.00909090909090909,12.0,199.0,0.0,1,288.0,0.75
0.004545454545454545,1.0,54.0,0.0,1,23.0,0.0
0.0,15.0,188.0,0.0,1,148.0,0.75
0.004545454545454545,14.0,9.0,0.0,1,171.0,0.75
0.00909090909090909,2.0,872.0,0.0,1,54.0,0.0
0.045454545454545456,20.0,1763.0,0.0,1,439.0,0.75
0.006818181818181818,4.0,113.0,0.0,1,50.0,0.875
0.0,0.0,8.0,0.0,0,214.0,0.625
0.004545454545454545,4.0,66.0,0.0,1,67.0,0.75
0.2681818181818182,21.0,483.0,0.0,1,746.0,0.875
0.03636363636363636,22.0,930.0,0.0,1,354.0,0.875
