,oos,atc,latency,trf_avg,perfect_order,GMV_cur,retention
7371,0.1431818181818182,40.0,534.0,0.0,1,794.0,0.0
7372,0.0136363636363636,20.0,151.0,0.0,1,473.0,0.875
7373,0.0113636363636363,21.0,311.0,0.0,1,481.0,0.875
7374,0.009090909090909,19.0,531.0,0.0,1,253.0,0.75
7375,0.0136363636363636,27.0,431.0,0.0,1,281.0,1.0
7376,0.0113636363636363,9.0,101.0,0.0,1,188.0,0.875
7377,0.0818181818181818,11.0,3507.0,0.0,1,367.0,0.75
7378,0.0613636363636363,14.0,670.0,0.0,1,278.0,0.625
7379,0.0136363636363636,13.0,220.0,0.0,1,274.0,0.75
7380,0.0204545454545454,4.0,648.0,0.0,1,226.0,0.875
7381,0.0,31.0,4.0,0.0,1,271.0,0.375
7382,0.0499999999999999,21.0,441.0,0.0,1,514.0,0.0
7383,0.0249999999999999,14.0,551.0,0.0,1,211.0,0.625
7384,0.0613636363636363,29.0,1504.0,1.0,1,447.0,0.75
7385,0.009090909090909,13.0,64.0,0.0,1,224.0,1.0
7386,0.0386363636363636,21.0,75.0,0.0,1,347.0,0.875
7387,0.0318181818181818,40.0,201.0,0.0,1,884.0,0.75
7388,0.009090909090909,8.0,35.0,0.0,1,252.0,0.875
7389,0.0068181818181818,1.0,140.0,0.0,1,45.0,0.75
7390,0.1136363636363636,129.0,196.0,0.0,1,1414.0,0.75
7391,0.034090909090909,63.0,132.0,0.0,1,975.0,0.875
7392,0.0227272727272727,54.0,332.0,0.0,1,768.0,0.875
7393,0.0045454545454545,1.0,18.0,0.0,0,598.0,1.0
7394,0.0363636363636363,16.0,815.0,0.0,1,507.0,0.75
7395,0.0022727272727272,2.0,8.0,0.0,1,45.0,0.75
7396,0.009090909090909,7.0,14.0,0.0,1,161.0,0.75
7397,0.0022727272727272,7.0,25.0,0.0,0,279.0,1.0
7398,0.0795454545454545,54.0,274.0,0.0,1,661.0,0.625
7399,0.3795454545454545,99.0,738.0,1.0,1,1765.0,0.75
7400,0.0136363636363636,2.0,19.0,0.0,1,324.0,0.75
7401,0.0454545454545454,16.0,1658.0,0.0,1,394.0,0.875
7402,0.0499999999999999,62.0,562.0,0.0,1,716.0,0.75
7403,0.0,3.0,2.0,0.0,1,49.0,0.875
7404,0.0113636363636363,11.0,68.0,0.0,1,434.0,0.75
7405,0.0181818181818181,21.0,281.0,0.0,1,1215.0,1.0
7406,0.084090909090909,16.0,147.0,0.0,1,581.0,0.75
7407,0.0045454545454545,2.0,792.0,0.0,1,279.0,1.0
7408,0.009090909090909,19.0,116.0,0.0,1,315.0,0.875
7409,0.0409090909090909,30.0,645.0,0.0,1,517.0,0.0
7410,0.009090909090909,2.0,4265.0,0.0,1,115.0,0.875
7411,0.1272727272727272,33.0,1634.0,0.0,1,591.0,1.0
7412,0.0159090909090909,16.0,1048.0,0.0,1,260.0,0.0
7413,0.0227272727272727,40.0,115.0,0.0,1,598.0,1.0
7414,0.0068181818181818,7.0,82.0,0.0,1,120.0,0.875
7415,0.009090909090909,26.0,9.0,0.0,1,360.0,1.0
7416,0.0022727272727272,0.0,496.0,0.0,1,20.0,0.0
7417,0.0045454545454545,22.0,17.0,0.0,1,260.0,0.5
7418,0.0431818181818181,29.0,1281.0,0.0,1,561.0,0.875
7419,0.1363636363636363,57.0,1143.0,0.0,1,912.0,0.5
7420,0.0,0.0,5.0,0.0,0,205.0,0.75
7421,0.2136363636363636,234.0,1817.0,0.0,1,2793.0,0.875
7422,0.1977272727272727,19.0,1573.0,0.0,1,612.0,0.875
7423,0.0181818181818181,7.0,19.0,0.0,1,213.0,0.875
7424,0.0022727272727272,0.0,14.0,0.0,1,107.0,1.0
7425,0.0045454545454545,6.0,235.0,0.0,1,168.0,0.875
7426,0.0681818181818181,7.0,956.0,1.0,1,282.0,0.875
7427,0.0295454545454545,13.0,172.0,0.0,1,421.0,0.75
7428,0.0181818181818181,4.0,586.0,0.0,1,317.0,0.875
